"Tidstämpel","Say something about the course. 

Need guidance? Share a good thing and a thing that can be improved on the course, course material, the teachers together/individually, etc."
"2023/10/13 3:29:28 em EEST","The course as a whole was great. The course material was easy to access and directions was clear. I learned a lot. The one thing I bothered me was the chaotic lecturing style of the teacher on day 3, it was really hard to follow along."
"2023/10/13 3:46:26 em EEST","Maybe more biology, bioinformatics application to understand the power of the language in simplifying our work"
"2023/10/13 3:52:17 em EEST","Good Thing: Helpful TAs, Brainstorming and cute exercises. Yummy Cakes ;)
In case of regression expression lecture, things went a little bit fast. It might be more better if first there is some understanding lecture regarding syntax instead of giving exercise to do by yourself. It's my opinion, could vary participant to participant. Rest is all good."
"2023/10/13 3:52:27 em EEST","Good: an intensive course with teaching and practicing.
Not so good: too dense for a totally beginner without previous programming experience. I fount it a big challenging to follow the course. This should be advertised, or the course become more basic for totally beginners."
"2023/10/13 3:52:48 em EEST","The course exhibited a commendable level of organization, with particular emphasis on the initial two days and the fourth day. The instructional delivery by both instructors and teaching assistants was effective and readily comprehensible. It is my recommendation that there be a rearrangement of the course schedule to prioritize building a fundamental understanding of the functions, particularly for novice participants, before moving on to more advanced content on day four. My overall experience with the course was highly enjoyable."
"2023/10/13 3:53:40 em EEST","All the instructors and assistants were very helpful in trying to explain things and make us feel welcome. That helped a lot in asking more questions and clarifying things. 
The content and the structure was well designed. The format of the first 2 days worked really well, since when a concept was introduced, we had an exercise on it. Then there was a new concept and an exercise on it etc so one could build on the info through the day. 

It would have been great if the same format was followed through the whole week.   

 "
"2023/10/13 3:54:06 em EEST","Course material was good and very useful, quizzes and reviews are very nice and a good way to recap what we have learnt. Some lessons (Wednesday and Friday) were difficult to follow and grasp what the point of the lecture was. This particular lessons went in details, but on the other hand basic explanations, for examples what functions and body of the functions were missing. These lectures should have been structured better in the future. "
"2023/10/13 3:54:28 em EEST","I really liked the course. I learned a lot, even though I already had some knowledge about Python. It gave me a deeper understanding of what I am doing and why. I liked the variety in teaching styles, and was able to follow everything. The teachers were good, had a lot of knowledge, and experience and were able to transfer this knowledge in a good way. "
"2023/10/13 3:54:55 em EEST","Excellent course in terms of organization, teaching material, timing to complete the exercises, and one-to-one assistance. Having exercises at different levels makes the course feasible and flexible to all levels. Highly recommendable."
"2023/10/13 3:55:07 em EEST","I really liked the first two lessons with a bit of theory and the practise to understand well what I was explained. Also the frequent breaks were very well appreciated. What I did not like was the lesson about functions and asserts because I could not follow well, everything was very abstract and there were no exercises and I felt it was a bit unorganized. Also the HackMD tool is a bit stressful, some people write on top of you and you miss your line, I didn't like it. I really liked the Pandas lesson, again theory+exercises.
Some TAs (shoutout for Jonas) were very very helpful and it was a pleasure to work with them.
But in summary I think it is a very adequate curse for beginners and you end up knowing how to use many things."
"2023/10/13 3:56:23 em EEST","The TAs were very helpful to have in the course. All days ran pretty smoothly though days 3 and 5 felt a bit rushed and that we did not go over everything in the modules thoroughly. All in all, I think the course was very informative and I feel I now have a good starting base to start learning more python. "
"2023/10/13 3:56:56 em EEST","I think the course was good in terms of touching upon different areas of the programming language. Also, I enjoyed the variation of teachers having their different style and technique of teaching. Having breaks are also important which the course kept in mind.

To provide some contructive feedback, I would suggest keeping in mind that some people (I included)  do not have any prior programming background in computer science/programming and that many terms being used casually when explaining new concepts is very confusing. Also, when demonstrating examples, try to keep them consistent. Even if you can code something in different ways, to a new person it becomes very confusing after showing 3-4 ways that will output the same thing. I understand this can still be beneficial for more experienced bioinformaticians. "
"2023/10/13 3:58:02 em EEST","I think it is a wonderful course, as I didn't have any idea about python or programming before and I could relate to how I can use this knowledge in analyzing my sequencing data that I am aiming to do in the coming days. I didn't expect to be an expert after this course but at least I could develop a very basic understanding, thanks to this course and I can at least take help from ChatGPT or google or knowledgeable human colleagues to analyze my data rather than making collaborations and having no idea what my collaborators will do . :D The course material is also excellent. I would have appreciated if we could have practiced some more real and different types of datasets in the course. For me, a follow-up practice with a real RNA-seq or ChIP-se data and how we can follow a pipeline to make meaningful analyses would have been perfect. However, I can understand about time constraints. Thanks for such a wonderful course, and I would be happier to join similar type of courses in the future. 
PS: awesome food and fika.. :D Gave me extra few calories after 7 days of only eating and coding no no physical exercise."
