ID	time	temperature
022-kitchen	2018/11/06_21:00-21:59	21.6
022-bedroom	2018/11/06_21:00-21:59	19.7
022-living room	2018/11/06_21:00-21:59	21.8
023-kitchen	2018/11/06_22:00-22:59	21.4
023-bedroom	2018/11/06_22:00-22:59	20.1
023-living room	2018/11/06_22:00-22:59	21.6
024-kitchen	2018/11/06_23:00-23:59	21.1
024-bedroom	2018/11/06_23:00-23:59	20.2
024-living room	2018/11/06_23:00-23:59	21.3
001-kitchen	2018/11/07_00:00-00:59	20.6
001-bedroom	2018/11/07_00:00-00:59	20.4
001-living room	2018/11/07_00:00-00:59	20.8
002-kitchen	2018/11/07_01:00-01:59	20.6
002-bedroom	2018/11/07_01:00-01:59	20.4
002-living room	2018/11/07_01:00-01:59	20.8
003-kitchen	2018/11/07_02:00-02:59	20.5
003-bedroom	2018/11/07_02:00-02:59	20.3
003-living room	2018/11/07_02:00-02:59	20.7
004-kitchen	2018/11/07_03:00-03:59	20.5
004-bedroom	2018/11/07_03:00-03:59	20.3
004-living room	2018/11/07_03:00-03:59	20.7
005-kitchen	2018/11/07_04:00-04:59	20.6
005-bedroom	2018/11/07_04:00-04:59	20.4
005-living room	2018/11/07_04:00-04:59	20.8
006-kitchen	2018/11/07_05:00-05:59	20.7
006-bedroom	2018/11/07_05:00-05:59	20.5
006-living room	2018/11/07_05:00-05:59	20.9
007-kitchen	2018/11/07_06:00-06:59	20.7
007-bedroom	2018/11/07_06:00-06:59	20.5
007-living room	2018/11/07_06:00-06:59	20.9
008-kitchen	2018/11/07_07:00-07:59	20.9
008-bedroom	2018/11/07_07:00-07:59	20.7
008-living room	2018/11/07_07:00-07:59	21.1
009-kitchen	2018/11/07_08:00-08:59	21.1
009-bedroom	2018/11/07_08:00-08:59	20.9
009-living room	2018/11/07_08:00-08:59	21.3
010-kitchen	2018/11/07_09:00-09:59	21.2
010-bedroom	2018/11/07_09:00-09:59	21.1
010-living room	2018/11/07_09:00-09:59	21.4
011-kitchen	2018/11/07_10:00-10:59	21.6
011-bedroom	2018/11/07_10:00-10:59	21.4
011-living room	2018/11/07_10:00-10:59	21.8
012-kitchen	2018/11/07_11:00-11:59	21.5
012-bedroom	2018/11/07_11:00-11:59	21.3
012-living room	2018/11/07_11:00-11:59	21.7
013-kitchen	2018/11/07_12:00-12:59	21.7
013-bedroom	2018/11/07_12:00-12:59	21.5
013-living room	2018/11/07_12:00-12:59	21.9
014-kitchen	2018/11/07_13:00-13:59	21.9
014-bedroom	2018/11/07_13:00-13:59	21.7
014-living room	2018/11/07_13:00-13:59	22.1
015-kitchen	2018/11/07_14:00-14:59	22.4
015-bedroom	2018/11/07_14:00-14:59	22.2
015-living room	2018/11/07_14:00-14:59	22.6
016-kitchen	2018/11/07_15:00-15:59	22.3
016-bedroom	2018/11/07_15:00-15:59	22.1
016-living room	2018/11/07_15:00-15:59	22.5
017-kitchen	2018/11/07_16:00-16:59	22.5
017-bedroom	2018/11/07_16:00-16:59	22.3
017-living room	2018/11/07_16:00-16:59	22.7
018-kitchen	2018/11/07_17:00-17:59	22.6
018-bedroom	2018/11/07_17:00-17:59	22.4
018-living room	2018/11/07_17:00-17:59	22.8
019-kitchen	2018/11/07_18:00-18:59	22.1
019-bedroom	2018/11/07_18:00-18:59	21.9
019-living room	2018/11/07_18:00-18:59	22.3
020-kitchen	2018/11/07_19:00-19:59	21.9
020-bedroom	2018/11/07_19:00-19:59	20.1
020-living room	2018/11/07_19:00-19:59	22.1
021-kitchen	2018/11/07_20:00-20:59	21.8
021-bedroom	2018/11/07_20:00-20:59	19.8
021-living room	2018/11/07_20:00-20:59	22.1
